0,1,2,3
0.0,0.3,2003-04-29,000014
5.0,1.0,1994-05-31,000014
0.0,0.5,2022-06-10,000016
0.0,1.0,2021-06-04,000016
0.0,0.5,2020-07-09,000016
0.0,1.0,2019-07-05,000016
0.0,1.62,2018-06-06,000016
10.0,0.0,2015-09-25,000016
0.0,0.1,2015-07-20,000016
0.0,0.1,2014-05-29,000016
0.0,0.1,2013-06-14,000016
0.0,0.1,2012-07-09,000016
0.0,0.1,2011-07-11,000016
0.0,0.1,2010-07-15,000016
0.0,0.5,2009-07-10,000016
10.0,0.0,2008-06-03,000016
0.0,1.0,2007-08-01,000016
0.0,1.5,2001-06-25,000016
1.0,4.0,2000-07-26,000016
0.0,3.0,1999-10-21,000016
2.0,3.0,1999-08-23,000016
0.0,5.6,1998-06-22,000016
0.0,5.2,1997-07-14,000016
0.0,5.15,1996-07-05,000016
0.0,4.0,1995-10-30,000016
2.0,0.6,1995-11-29,000017
2.5,0.625,1994-09-20,000017
0.0,2.0,2021-06-21,000019
0.0,2.0,2020-06-19,000019
0.0,1.0,2019-06-20,000019
1.0,0.5,2017-06-28,000019
5.0,0.0,2016-06-22,000019
2.0,0.0,2014-05-14,000019
0.0,2.0,2013-07-09,000019
0.0,0.5,2002-05-27,000019
0.0,0.916,2001-07-04,000019
0.0,1.0,1999-07-09,000019
0.0,1.0,1998-07-27,000019
2.0,0.0,1997-07-15,000019
0.0,1.4,1997-10-14,000020
1.764,0.0,1998-01-06,000020
0.0,1.0,1996-09-11,000020
0.0,1.0,1995-07-26,000020
0.0,1.2,1994-07-06,000020
0.0,1.5,2022-06-17,000021
0.0,1.6,2021-06-10,000021
0.0,0.6,2020-06-18,000021
0.0,1.0,2019-06-27,000021
0.0,0.5,2018-06-28,000021
0.0,0.5,2017-06-22,000021
0.0,0.5,2016-06-16,000021
0.0,0.5,2015-06-18,000021
0.0,0.5,2014-06-19,000021
0.0,0.2,2013-06-19,000021
0.0,1.0,2012-06-25,000021
0.0,1.5,2011-06-20,000021
5.0,2.0,2010-06-10,000021
0.0,1.5,2009-06-24,000021
0.0,4.0,2008-06-13,000021
0.0,4.0,2007-06-15,000021
2.0,1.5,2006-06-15,000021
0.0,1.5,2005-06-22,000021
0.0,1.0,2004-07-01,000021
0.0,1.0,2003-07-18,000021
0.0,0.6,2002-07-11,000021
0.0,0.5,2001-05-25,000021
0.0,0.3,2000-06-13,000021
3.0,3.0,1999-05-10,000021
0.0,1.2,1998-06-23,000021
10.0,2.0,1997-06-20,000021
3.0,1.5,1996-06-11,000021
0.0,0.5,1995-11-22,000021
2.5,0.4,1994-08-31,000021
0.0,0.1,2020-07-24,000023
0.0,0.6,2019-08-16,000023
0.0,0.5,2018-08-16,000023
0.0,0.4,2017-08-15,000023
0.0,0.5,2016-08-17,000023
0.0,0.4,2015-08-13,000023
0.0,0.4,2014-08-08,000023
0.0,0.3,2013-06-06,000023
0.0,0.3,2012-08-16,000023
0.0,0.449,2010-08-06,000023
0.0,1.096,2009-08-25,000023
0.0,1.1615,2008-08-08,000023
0.0,0.1,2007-06-21,000023
0.0,0.506,2001-08-27,000023
0.0,0.56,2000-07-11,000023
0.5,0.66,1999-08-16,000023
1.5,0.4,1998-07-09,000023
0.5,0.12,1996-08-15,000023
2.0,0.75,1995-08-15,000023
2.0,0.44,1994-06-08,000023
0.0,0.2,2021-06-28,000025
0.0,0.42,2020-05-27,000025
4.5,0.0,2019-05-15,000025
1.0,0.5,1995-07-11,000025
2.0,0.5,1994-05-20,000025
0.0,3.0,2022-06-10,000026
0.0,4.084341,2021-06-01,000026
0.0,2.0,2020-07-01,000026
0.0,2.008128,2019-08-12,000026
0.0,2.0,2018-07-30,000026
0.0,1.0,2017-06-22,000026
0.0,1.0,2016-06-24,000026
0.0,1.0,2015-08-06,000026
0.0,1.0,2014-07-31,000026
0.0,1.0,2013-08-13,000026
0.0,1.0,2012-06-01,000026
4.0,1.0,2011-04-27,000026
0.0,1.0,2010-08-04,000026
0.0,1.0,2009-07-15,000026
0.0,1.0,2008-06-26,000026
0.0,0.5,2002-07-19,000026
0.0,1.0,2000-07-26,000026
0.0,1.8,1999-08-10,000026
